"","BPrev","BStreak","B_Age","B_Height","B_HomeTown","B_ID","B_Location","B_Name","B_Weight","Date","Event_ID","Fight_ID","Last_round","Max_round","RPrev","R_Age","R_Height","R_HomeTown","R_ID","R_Location","R_Name","R_Weight","winby","winner","year","max_year_b","max_year_r"
"1",0,0,35,193,"Hounslow England",808,"Amsterdam The Netherlands","Alistair Overeem",120,"02/03/2014",646,4580,3,3,0,38,190,"Las Vegas, Nevada USA",377,"Las Vegas, Nevada USA","Frank Mir",119,"DEC","blue",2014,2017,2015
"2",0,0,34,172,"Chicago, Illinois United States",1054,"Chicago, Illinois United States","Ricardo Lamas",65,"02/03/2014",646,4589,5,5,0,28,170,"Manaus Brazil",1052,"Rio de Janeiro Brazil","Jose Aldo",65,"DEC","red",2014,2016,2018
"3",0,0,37,167,"Isla Vista , California USA",959,"Sacramento, California USA","Urijah Faber",61,"02/03/2014",646,4590,1,5,0,27,167,"Natal Brazil",1527,"Rio de Janeiro Brazil","Renan Barao",61,"KO/TKO","red",2014,2016,2018
"4",0,0,32,167,"San Diego, CA USA",1056,"San Diego, CA USA","Danny Martinez",56,"02/03/2014",646,4605,3,3,0,36,160,"San Jose, California USA",1253,"Tucson, Arizona USA","Chris Cariaso",56,"DEC","red",2014,2015,2015
"5",0,0,35,185,"Southampton England",2005,"Southampton England","Tom Watson",84,"02/03/2014",646,4631,3,3,0,37,182,"Englewood, NJ USA",464,"Brick, NJ USA","Nick Catone",84,"DEC","red",2014,2015,2014
"6",0,0,31,180,"Amazonas Brazil",2101,"Rio de Janeiro Brazil","Alan Patrick",70,"02/03/2014",646,4642,3,3,0,29,172,"Halifax, Nova Scotia Canada",1675,"Montreal, Quebec Canada","John Makdessi",70,"DEC","blue",2014,2018,2018
"7",0,0,22,175,"Detroit, Michigan United States",2157,"Las Vegas, Nevada United States","Kevin Lee",70,"02/03/2014",646,4649,3,3,0,27,175,"Wantagh, New York United States",1983,"Wantagh, New York United States","Al Iaquinta",70,"DEC","red",2014,2018,2018
"8",0,0,32,175,"Dagestan Russia",2158,"Coconut Creek, Florida United States","Rashid Magomedov",70,"11/05/2016",646,4651,3,3,0,26,182,"Palos Heights, Illinois United States",2159,"Boston, Massachusetts United States","Tony Martin",70,"DEC","blue",2016,2017,2018
"9",0,0,35,180,"Zinzeli, Astrakhan Oblast Russia",2160,"Zinzeli, Astrakhan Oblast Russia","Gasan Umalatov",77,"02/03/2014",646,4652,3,3,0,27,190,"Brooklyn, New York United States",2047,"Denver, Colorado United States","Neil Magny",77,"DEC","red",2014,2015,2018
"10",0,0,31,162,"Dagestan Republic Russia",2084,"Dagestan Republic Russia","Ali Bagautinov",56,"02/03/2014",646,4658,3,3,0,24,160,"Paranagua, Parana Brazil",1966,"Paranagua, Parana Brazil","John Lineker",61,"DEC","blue",2014,2016,2018
